scorer,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000
bodyparts,head,head,head,left ear,left ear,left ear,Right ear,Right ear,Right ear,basetail,basetail,basetail,spine,spine,spine,cable1,cable1,cable1,cable2,cable2,cable2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
1,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
2,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
3,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
4,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
5,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
6,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
7,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
