"file","light","treatment","opsin","spikes","cell","recording","index","uw_mm2","intensity_mv","rel_uw_mm2","treatment2","delta_t_rheo_s","pa_injection_start_s","rheo_s"
"","550nm","intensity_curve","tp184",NA,1,1,1,0,NA,1,"",NA,NA,NA
"28092022_TP184_cover1_cell2_0002","550nm","intensity_curve","tp184",5,1,1,1,0.004677147,50,1,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0002","550nm","intensity_curve","tp184",0,1,1,1,0.179290633,51,0,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0002","550nm","intensity_curve","tp184",0,1,1,1,2.858256464,52,0,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0002","550nm","intensity_curve","tp184",0,1,1,1,7.119657009,53,0,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0002","550nm","intensity_curve","tp184",0,1,1,1,11.69286735,54,0,NA,NA,NA,NA
"","635nm","intensity_curve","tp184",NA,1,1,2,0,NA,1,"",NA,NA,NA
"28092022_TP184_cover1_cell2_0003","635nm","intensity_curve","tp184",8,1,1,2,0.332597116,95,1,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0003","635nm","intensity_curve","tp184",8,1,1,2,1.221255034,96,1,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0003","635nm","intensity_curve","tp184",0,1,1,2,1.870858776,97,0,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0003","635nm","intensity_curve","tp184",2,1,1,2,3.351955307,98,0.25,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0003","635nm","intensity_curve","tp184",1,1,1,2,4.001559049,99,0.125,NA,NA,NA,NA
"28092022_TP184_cover1_cell2_0005","550nm","ramp_no_light","tp184",16,1,1,3,0,NA,1,"continuous",0.11195,0.32,0.43195
"28092022_TP184_cover1_cell2_0006","550nm","ramp_550nm_continuous","tp184",0,1,1,3,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"28092022_TP184_cover1_cell2_0007","635nm","ramp_no_light","tp184",17,1,1,4,0,NA,1,"continuous",0.12291,0.32,0.44291
"28092022_TP184_cover1_cell2_0008","635nm","ramp_635nm_continuous","tp184",0,1,1,4,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"","550nm","intensity_curve","tp184",NA,2,1,5,0,NA,1,"",NA,NA,NA
"28092022_TP184_cover1_cell3_0002","550nm","intensity_curve","tp184",8,2,1,5,0.004677147,50,1,NA,NA,NA,NA
"28092022_TP184_cover1_cell3_0002","550nm","intensity_curve","tp184",0,2,1,5,0.179290633,51,0,NA,NA,NA,NA
"28092022_TP184_cover1_cell3_0002","550nm","intensity_curve","tp184",1,2,1,5,2.858256464,52,0.125,NA,NA,NA,NA
