"","file","delta_t.s.","opsin","spike","light","index","cell"
"1","20022023_TP222_hippo_cover2_cell3_0001",0.23,"tp222",0,"550nm",1,1
"2","20022023_TP222_hippo_cover2_cell3_0001",0.205,"tp222",0,"550nm",1,1
"3","20022023_TP222_hippo_cover2_cell3_0001",0.18,"tp222",0,"550nm",1,1
"4","20022023_TP222_hippo_cover2_cell3_0001",0.155,"tp222",0,"550nm",1,1
"5","20022023_TP222_hippo_cover2_cell3_0001",0.13,"tp222",0,"550nm",1,1
"6","20022023_TP222_hippo_cover2_cell3_0001",0.105,"tp222",0,"550nm",1,1
"7","20022023_TP222_hippo_cover2_cell3_0001",0.08,"tp222",0,"550nm",1,1
"8","20022023_TP222_hippo_cover2_cell3_0001",0.055,"tp222",0,"550nm",1,1
"9","20022023_TP222_hippo_cover2_cell3_0001",0.03,"tp222",0,"550nm",1,1
"10","20022023_TP222_hippo_cover2_cell3_0002",0.23,"tp222",0,"635nm",2,1
"11","20022023_TP222_hippo_cover2_cell3_0002",0.205,"tp222",0,"635nm",2,1
"12","20022023_TP222_hippo_cover2_cell3_0002",0.18,"tp222",0,"635nm",2,1
"13","20022023_TP222_hippo_cover2_cell3_0002",0.155,"tp222",0,"635nm",2,1
"14","20022023_TP222_hippo_cover2_cell3_0002",0.13,"tp222",0,"635nm",2,1
"15","20022023_TP222_hippo_cover2_cell3_0002",0.105,"tp222",0,"635nm",2,1
"16","20022023_TP222_hippo_cover2_cell3_0002",0.08,"tp222",0,"635nm",2,1
"17","20022023_TP222_hippo_cover2_cell3_0002",0.055,"tp222",0,"635nm",2,1
"18","20022023_TP222_hippo_cover2_cell3_0002",0.03,"tp222",0,"635nm",2,1
"19","20022023_TP222_hippo_cover2_cell5_0003",0.23,"tp222",0,"550nm",3,2
"20","20022023_TP222_hippo_cover2_cell5_0003",0.205,"tp222",0,"550nm",3,2
"21","20022023_TP222_hippo_cover2_cell5_0003",0.18,"tp222",0,"550nm",3,2
"22","20022023_TP222_hippo_cover2_cell5_0003",0.155,"tp222",0,"550nm",3,2
"23","20022023_TP222_hippo_cover2_cell5_0003",0.13,"tp222",0,"550nm",3,2
"24","20022023_TP222_hippo_cover2_cell5_0003",0.105,"tp222",0,"550nm",3,2
"25","20022023_TP222_hippo_cover2_cell5_0003",0.08,"tp222",0,"550nm",3,2
"26","20022023_TP222_hippo_cover2_cell5_0003",0.055,"tp222",0,"550nm",3,2
"27","20022023_TP222_hippo_cover2_cell5_0003",0.03,"tp222",0,"550nm",3,2
"28","20022023_TP222_hippo_cover2_cell5_0004",0.23,"tp222",0,"635nm",4,2
"29","20022023_TP222_hippo_cover2_cell5_0004",0.205,"tp222",0,"635nm",4,2
"30","20022023_TP222_hippo_cover2_cell5_0004",0.18,"tp222",0,"635nm",4,2
"31","20022023_TP222_hippo_cover2_cell5_0004",0.155,"tp222",0,"635nm",4,2
"32","20022023_TP222_hippo_cover2_cell5_0004",0.13,"tp222",0,"635nm",4,2
"33","20022023_TP222_hippo_cover2_cell5_0004",0.105,"tp222",0,"635nm",4,2
"34","20022023_TP222_hippo_cover2_cell5_0004",0.08,"tp222",0,"635nm",4,2
