scorer,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000
bodyparts,LH,LH,LH,RH,RH,RH,TB,TB,TB,Center,Center,Center,LF,LF,LF,RF,RF,RF,Snout,Snout,Snout
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,199.40817260742188,652.7196044921875,0.5458531379699707,188.32666015625,598.9635620117188,0.9752572774887085,234.87442016601562,618.481201171875,0.9999030828475952,191.28236389160156,622.1464233398438,0.9815324544906616,174.41477966308594,600.0120849609375,0.5830816030502319,141.466796875,590.1905517578125,0.6345470547676086,136.56101989746094,580.7889404296875,0.8249894976615906
1,199.40817260742188,652.7196044921875,0.5063294768333435,188.68899536132812,599.4034423828125,0.9576969146728516,234.87442016601562,618.5325317382812,0.9998586177825928,191.4659881591797,622.1464233398438,0.9849218726158142,174.55064392089844,600.1856689453125,0.6554507613182068,141.466796875,590.7238159179688,0.4815046787261963,136.56101989746094,580.7889404296875,0.9572230577468872
2,199.40817260742188,652.7196044921875,0.5322092175483704,189.16604614257812,599.6947631835938,0.9678438901901245,234.94686889648438,618.6707153320312,0.9998592138290405,193.2502899169922,622.34375,0.9803603291511536,174.5533447265625,600.1856689453125,0.3983745574951172,141.70701599121094,590.771484375,0.5154051780700684,136.56101989746094,580.7996215820312,0.725837230682373
3,199.40817260742188,652.4215087890625,0.6034191250801086,189.16604614257812,599.6947631835938,0.9314250946044922,234.94686889648438,618.6707153320312,0.9998782873153687,193.2502899169922,622.605712890625,0.9786483645439148,174.55064392089844,600.0120849609375,0.9228653311729431,142.18890380859375,590.8206787109375,0.4135596752166748,136.50721740722656,580.7996215820312,0.3651150166988373
4,186.48284912109375,599.8525390625,0.4175008237361908,201.35166931152344,653.8434448242188,0.9733775854110718,234.8626708984375,618.6707153320312,0.9998917579650879,191.98590087890625,622.562255859375,0.9840528964996338,174.5533447265625,600.0120849609375,0.9080520272254944,157.66432189941406,622.1256103515625,0.3556962013244629,136.50721740722656,580.907470703125,0.21782436966896057
5,186.48284912109375,599.8525390625,0.4175755977630615,201.35848999023438,654.4780883789062,0.9728777408599854,234.61672973632812,618.6707153320312,0.9998726844787598,193.2502899169922,622.605712890625,0.9861219525337219,174.5533447265625,600.1856689453125,0.7512534260749817,157.66432189941406,622.1256103515625,0.35754239559173584,136.50721740722656,581.7619018554688,0.04605572298169136
6,186.09487915039062,626.867431640625,0.596245288848877,201.35166931152344,654.4780883789062,0.9551073908805847,234.61672973632812,618.5702514648438,0.9998577833175659,193.45472717285156,625.0505981445312,0.9917817711830139,174.5533447265625,600.00244140625,0.6123791933059692,157.66432189941406,622.1256103515625,0.5151906609535217,138.1881103515625,581.7619018554688,0.8216447234153748
7,187.10028076171875,626.867431640625,0.42408379912376404,201.35166931152344,654.4780883789062,0.9549638628959656,234.5705108642578,618.5702514648438,0.9998669624328613,191.98590087890625,622.605712890625,0.9894201755523682,175.1415557861328,599.9927368164062,0.3631489872932434,147.3044891357422,593.3252563476562,0.2757960259914398,139.43141174316406,581.7619018554688,0.8496962189674377
8,187.10028076171875,599.8150024414062,0.6174829006195068,201.35166931152344,654.8584594726562,0.9633617997169495,234.4974822998047,618.5702514648438,0.9998582601547241,191.98590087890625,622.562255859375,0.9678975343704224,175.1415557861328,599.9927368164062,0.5641019344329834,144.4182586669922,591.5615234375,0.5952275395393372,139.43141174316406,581.5904541015625,0.9473109245300293
9,187.10028076171875,599.8150024414062,0.8102167248725891,201.4338836669922,655.4647827148438,0.9847536087036133,233.15354919433594,620.7736206054688,0.999913215637207,191.95126342773438,621.879150390625,0.9842570424079895,175.1415557861328,598.846435546875,0.9886083602905273,144.4182586669922,583.86279296875,0.21527884900569916,139.47271728515625,577.2177734375,0.5708644986152649
10,186.29652404785156,599.8150024414062,0.7595202326774597,201.1412353515625,655.69580078125,0.9900299310684204,231.31842041015625,621.9536743164062,0.9999427795410156,191.95126342773438,620.9227905273438,0.9843475818634033,175.0067596435547,598.846435546875,0.9943104982376099,145.227294921875,583.86279296875,0.12580916285514832,139.47271728515625,577.2177734375,0.47098076343536377
11,186.29652404785156,599.7306518554688,0.7343924045562744,201.301025390625,655.8494873046875,0.9763985276222229,231.29054260253906,622.0596313476562,0.9999423027038574,191.95126342773438,620.8298950195312,0.9688069820404053,175.0067596435547,598.846435546875,0.9641271233558655,145.227294921875,583.86279296875,0.05002295970916748,139.47271728515625,577.2177734375,0.0768168568611145
12,186.29652404785156,599.8150024414062,0.7457272410392761,201.18429565429688,655.8494873046875,0.9888129830360413,231.29054260253906,622.2324829101562,0.9999352693557739,192.17930603027344,620.1414794921875,0.973471462726593,174.10003662109375,598.8343505859375,0.9938156604766846,158.7094268798828,620.8950805664062,0.08620484918355942,139.6724090576172,577.8036499023438,0.9006609320640564
13,186.02098083496094,599.7933349609375,0.5471243262290955,201.1977081298828,655.69580078125,0.9839762449264526,231.29054260253906,622.47265625,0.999932050704956,192.8251953125,620.1414794921875,0.9485529661178589,174.10003662109375,598.9940185546875,0.9893280863761902,159.15365600585938,621.2017822265625,0.10333050042390823,141.3258056640625,580.2340087890625,0.980297863483429
14,186.01116943359375,599.7933349609375,0.508446991443634,201.18429565429688,655.69580078125,0.9779467582702637,231.29054260253906,622.8421020507812,0.9999232292175293,192.8251953125,620.8298950195312,0.9509914517402649,173.62635803222656,599.0926513671875,0.9949439167976379,159.15365600585938,621.2017822265625,0.05309933423995972,141.3258056640625,580.2340087890625,0.7215328812599182
15,186.02098083496094,599.7306518554688,0.6122142672538757,201.18429565429688,655.7960815429688,0.9865003228187561,231.3221893310547,623.07470703125,0.9999092817306519,192.8251953125,620.5919189453125,0.9801120162010193,173.62635803222656,598.9940185546875,0.9931907057762146,158.7094268798828,621.2017822265625,0.08999834209680557,141.3258056640625,580.2340087890625,0.9745893478393555
16,186.3744354248047,599.7322998046875,0.6759166121482849,201.14547729492188,655.7960815429688,0.9854051470756531,231.3221893310547,623.156005859375,0.9999359846115112,192.5571746826172,621.030517578125,0.9698230624198914,173.696533203125,599.0926513671875,0.9974797368049622,142.46200561523438,589.5181884765625,0.2869426906108856,138.08685302734375,580.4544677734375,0.9646929502487183
17,186.1191864013672,599.6051635742188,0.720827579498291,201.10848999023438,655.7960815429688,0.9837602376937866,230.63995361328125,623.1571044921875,0.9999241828918457,192.5571746826172,621.31396484375,0.9700450301170349,173.8184356689453,599.1370239257812,0.9929831027984619,141.8460693359375,589.5181884765625,0.07144399732351303,136.5275421142578,580.4544677734375,0.9974689483642578
18,186.3744354248047,599.1483764648438,0.6987072229385376,201.10848999023438,655.8291015625,0.9908838868141174,230.6239776611328,623.2037353515625,0.99993896484375,192.5571746826172,621.31396484375,0.9787015914916992,173.8184356689453,599.2855834960938,0.9924840331077576,141.8460693359375,589.5181884765625,0.17735683917999268,136.5275421142578,580.4544677734375,0.9912358522415161
19,189.01806640625,599.6051635742188,0.5261484384536743,201.14547729492188,655.7960815429688,0.9817995429039001,230.6239776611328,623.7501831054688,0.9999279975891113,192.67347717285156,621.701904296875,0.9725999236106873,174.00396728515625,599.30810546875,0.960055410861969,142.46200561523438,590.795166015625,0.4017109274864197,136.5275421142578,583.6256103515625,0.9913812279701233
20,189.1542205810547,599.7322998046875,0.5103550553321838,201.02761840820312,655.8291015625,0.9896436929702759,230.4526824951172,623.7515869140625,0.9999241828918457,193.13197326660156,624.5438842773438,0.9786267876625061,174.00396728515625,599.7147216796875,0.9645893573760986,143.74378967285156,591.993408203125,0.14870694279670715,141.32772827148438,583.6256103515625,0.9992856383323669
