scorer,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000
bodyparts,LH,LH,LH,RH,RH,RH,TB,TB,TB,Center,Center,Center,LF,LF,LF,RF,RF,RF,Snout,Snout,Snout
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,168.0914764404297,770.8277587890625,0.9982560276985168,159.8979949951172,734.545654296875,0.9989656209945679,117.88156127929688,753.8878784179688,0.9996767044067383,171.86703491210938,749.4906005859375,0.999488353729248,206.74435424804688,753.012939453125,0.9999525547027588,198.1216583251953,735.0792236328125,0.9999985694885254,221.91995239257812,742.1429443359375,0.9997231364250183
1,168.31631469726562,770.878662109375,0.997858464717865,159.8979949951172,734.6801147460938,0.9991629123687744,118.81485748291016,753.9226684570312,0.9995135068893433,172.0199432373047,749.5399169921875,0.9995144605636597,206.9333038330078,753.012939453125,0.9999512434005737,198.32058715820312,735.1962890625,0.9999986886978149,222.4454803466797,742.26123046875,0.999705970287323
2,168.38894653320312,770.9762573242188,0.9991987347602844,159.8979949951172,734.6801147460938,0.9994139671325684,118.9419174194336,754.1056518554688,0.999843955039978,172.04417419433594,749.5399169921875,0.9995694756507874,207.001953125,753.19189453125,0.9999679327011108,198.34561157226562,735.1962890625,0.9999982118606567,222.5515899658203,742.26123046875,0.9997389912605286
3,168.38894653320312,770.878662109375,0.9981698989868164,159.84188842773438,734.6801147460938,0.9985357522964478,118.9419174194336,754.3403930664062,0.9997609257698059,172.0199432373047,749.5140380859375,0.9994248151779175,207.02615356445312,753.19189453125,0.999947190284729,198.32058715820312,735.1962890625,0.9999985694885254,222.60658264160156,742.26123046875,0.9996428489685059
4,168.38894653320312,770.878662109375,0.9988456964492798,159.84188842773438,734.6801147460938,0.9991475343704224,119.09388732910156,754.4105224609375,0.9997827410697937,172.0199432373047,749.5140380859375,0.9994907379150391,207.001953125,753.268798828125,0.9999561309814453,198.32058715820312,735.1716918945312,0.9999985694885254,222.64427185058594,742.0084228515625,0.9998087286949158
5,168.29173278808594,770.8107299804688,0.9982386827468872,159.84188842773438,734.79150390625,0.9989691972732544,119.09388732910156,754.5001831054688,0.9997745156288147,172.04417419433594,749.5366821289062,0.999488115310669,207.1978759765625,753.19189453125,0.9999474287033081,198.34132385253906,735.1716918945312,0.9999980926513672,222.6991424560547,742.0084228515625,0.9996850490570068
6,168.29173278808594,770.7604370117188,0.9983319640159607,159.7696533203125,734.744384765625,0.9988135099411011,118.95420837402344,754.5001831054688,0.9997513890266418,171.9043731689453,749.5157470703125,0.9995125532150269,207.14688110351562,753.2435913085938,0.9999668598175049,198.34132385253906,735.1520385742188,0.9999982118606567,222.6991424560547,741.991455078125,0.9997562766075134
7,168.2302703857422,770.7604370117188,0.9983365535736084,159.7696533203125,734.744384765625,0.9990764856338501,118.81914520263672,754.5001831054688,0.999761164188385,171.9043731689453,749.5238037109375,0.9993767142295837,207.14688110351562,753.268798828125,0.9999581575393677,198.17991638183594,735.1520385742188,0.9999983310699463,222.64427185058594,741.991455078125,0.9996856451034546
8,168.17384338378906,770.8107299804688,0.9982411861419678,159.8773193359375,734.6824340820312,0.998473584651947,118.81914520263672,754.2457885742188,0.999702513217926,171.9337158203125,749.5366821289062,0.9995713829994202,207.14193725585938,753.2435913085938,0.9999580383300781,198.21859741210938,735.1520385742188,0.9999983310699463,222.57882690429688,742.0084228515625,0.9996780157089233
9,168.17384338378906,770.8372192382812,0.9981350898742676,159.54367065429688,734.744384765625,0.9987578392028809,118.74855041503906,754.14208984375,0.9997403025627136,172.04747009277344,749.5238037109375,0.9995743632316589,207.14193725585938,753.0125732421875,0.9999552965164185,198.34132385253906,735.185302734375,0.9999985694885254,222.57882690429688,742.1759033203125,0.9997542500495911
10,168.31130981445312,770.906005859375,0.9986627101898193,159.54367065429688,734.6824340820312,0.9990905523300171,118.74855041503906,754.14208984375,0.9998394250869751,172.04747009277344,749.5157470703125,0.9993927478790283,207.14193725585938,753.0125732421875,0.9999585151672363,198.21859741210938,735.2501831054688,0.9999984502792358,222.52392578125,742.1870727539062,0.999693751335144
11,168.33322143554688,770.9488525390625,0.9979315996170044,159.54367065429688,734.6824340820312,0.998849630355835,118.69697570800781,754.2457885742188,0.9998015761375427,172.04747009277344,749.5238037109375,0.9995197057723999,207.14193725585938,753.0125732421875,0.9999593496322632,198.21859741210938,735.3054809570312,0.9999982118606567,222.52392578125,742.1870727539062,0.9995918869972229
12,168.3896942138672,770.9751586914062,0.997912585735321,159.4875946044922,734.80859375,0.9987756609916687,118.69697570800781,754.2457885742188,0.9996705055236816,172.04747009277344,749.4534301757812,0.9995155334472656,207.14193725585938,753.0125732421875,0.9999431371688843,198.5228271484375,735.2501831054688,0.9999990463256836,222.5260467529297,742.1870727539062,0.9996104836463928
13,168.3896942138672,770.9488525390625,0.9966533780097961,159.4875946044922,734.80859375,0.9982783794403076,118.97815704345703,754.5245361328125,0.9997391104698181,171.88609313964844,749.4502563476562,0.9995230436325073,207.26766967773438,752.95849609375,0.9999449253082275,198.5228271484375,735.3054809570312,0.9999984502792358,222.5260467529297,742.0210571289062,0.9997738003730774
14,168.3896942138672,770.9601440429688,0.9984133243560791,159.64230346679688,734.7103881835938,0.9985252022743225,118.97815704345703,754.5245361328125,0.9995040893554688,171.88609313964844,749.4502563476562,0.9995174407958984,207.27593994140625,753.19482421875,0.9999521970748901,198.47434997558594,735.3504028320312,0.9999983310699463,222.5260467529297,741.8494873046875,0.9998212456703186
15,168.37429809570312,770.9601440429688,0.9981135129928589,159.4875946044922,734.734375,0.9989181756973267,119.01377868652344,754.7606811523438,0.9997473359107971,171.88609313964844,749.4588012695312,0.9994186162948608,207.26766967773438,753.19482421875,0.999944806098938,198.5228271484375,735.4114990234375,0.9999984502792358,222.5260467529297,741.8494873046875,0.9996973276138306
16,168.23831176757812,770.9601440429688,0.997992753982544,159.64230346679688,734.734375,0.9989915490150452,119.0615005493164,754.28271484375,0.9997292160987854,171.88609313964844,749.4502563476562,0.9995840191841125,207.19937133789062,753.1707153320312,0.9999531507492065,198.47434997558594,735.3504028320312,0.9999980926513672,222.56689453125,741.93994140625,0.9995728135108948
17,168.23831176757812,770.9601440429688,0.9964042901992798,159.8882293701172,734.734375,0.9979167580604553,119.0615005493164,754.7606811523438,0.9996535778045654,171.8606719970703,749.4588012695312,0.9995582699775696,207.19937133789062,753.0764770507812,0.9999390840530396,198.39242553710938,735.3504028320312,0.9999986886978149,222.56689453125,742.0210571289062,0.999509334564209
18,168.23831176757812,770.9869995117188,0.9982384443283081,159.8882293701172,734.7536010742188,0.9990757703781128,119.19080352783203,754.56591796875,0.9997861981391907,171.96754455566406,749.481201171875,0.9994428753852844,207.19937133789062,753.1707153320312,0.9999489784240723,198.39242553710938,735.376220703125,0.9999984502792358,222.67649841308594,742.1405639648438,0.99967360496521
19,168.13116455078125,771.000732421875,0.9976702332496643,159.8882293701172,734.764892578125,0.9980257749557495,119.19080352783203,754.56591796875,0.9996180534362793,171.9242401123047,749.481201171875,0.9995172023773193,207.19937133789062,753.0764770507812,0.9999457597732544,198.39242553710938,735.3059692382812,0.9999986886978149,222.92063903808594,742.1753540039062,0.9995864033699036
20,168.18714904785156,771.000732421875,0.9978142976760864,159.8882293701172,734.764892578125,0.998650848865509,119.18165588378906,754.2999267578125,0.9996849298477173,171.9242401123047,749.481201171875,0.9994737505912781,207.19937133789062,753.1707153320312,0.9999531507492065,198.26235961914062,735.2938232421875,0.9999986886978149,222.92063903808594,742.1405639648438,0.9996334314346313
